type	label	url
blog	Mandy Brown	http://aworkinglibrary.com/
blog	Frank Chimero	https://frankchimero.com/
blog	Anil Dash	https://anildash.com/
blog	Ethan Marcotte	https://ethanmarcotte.com/
blog	Erika Hall	https://medium.com/@mulegirl
blog	Jeremy Keith	https://adactio.com/
blog	Dan Mall	http://danmall.me/
blog	Liz Danzico	http://bobulate.com/
blog	Maria Popova	https://www.brainpickings.org/
blog	Austin Kleon	https://austinkleon.com/
blog	Dave Rupert	https://daverupert.com/
blog	Sarah Drasner	https://sarahdrasnerdesign.com/
blog	Sara Soueidan	https://www.sarasoueidan.com/
blog	Rachel Andrew	https://rachelandrew.co.uk/
blog	Khoi Vinh	https://www.subtraction.com/
blog	Jason Kottke	https://kottke.org/
blog	Tina Essmaker	https://medium.com/@tinaessmaker
blog	Jessica Hische	http://jessicahische.is/
blog	Mark Boulton	https://markboulton.co.uk/
blog	Philippe Lagassé	https://lagassep.com/
blog	Sameer Vasta	https://www.inthemargins.ca/
newsletter	Charlie Loyd	https://tinyletter.com/vruba/
newsletter	Austin Kleon	https://austinkleon.com/newsletter/
newsletter	Melissa Gira Grant	https://melissagira.substack.com/
newsletter	Jamelle Bouie	https://thenewsletter.substack.com/
newsletter	Jack Cheng	https://jackcheng.com/sunday/
newsletter	Sameer Vasta	https://tinyletter.com/vasta
newsletter	Mita Williams	https://tinyletter.com/UniversityofWinds
